title,currency,sold_price,sold_date
New listingLEGO Christmas Tree 40573 - Seasonal 2022 - Brand New & Sealed,£,46.5,9 Sep 2022
lego city prison island 60130 brand new sealed in box retired set,£,135.0,9 Sep 2022
LEGO Super Mario: Nintendo Entertainment System (71374),£,150.0,9 Sep 2022
LEGO Zombie Chauffeur Car Monster Fighters Promotional Polybag,£,7.99,9 Sep 2022
"LEGO 40260 Halloween Haunt (2017) New, Unopened, Great Condition",£,26.5,9 Sep 2022
Retired LEGO Seasonal Set 40203 Vampire and Bat New & Factory 40203 Halloween,£,8.7,9 Sep 2022
New - LEGO Star Wars - DJ - Polybag - 40298 ,£,4.0,9 Sep 2022
LEGO Charles Dickens Tribute A Christmas Carol (40410) Brand New In Sealed Box,£,25.0,9 Sep 2022
LEGO 7239 - LEGO CITY FIRE ENGINE - RETIRED - BRAND NEW SEALED,£,68.24,9 Sep 2022
LEGO 75551 Minions-Figuren Bauset mit Versteck - NEU & OVP,£,38.44,9 Sep 2022
title,currency,sold_price,sold_date
New listingLEGO DC Batman Batmobile Tumbler Scarecrow Showdown (76239) Sealed,£,30.0,9 Sep 2022
New Lego Minifig - Ethan Hunt (Mission Impossible) (dim025)  - from set 71248,£,7.99,9 Sep 2022
LEGO Super Heroes: Iron Man: Iron Monger Mayhem (76190),£,16.23,9 Sep 2022
LEGO FRIENDS SNOWBOARD 30402 - NEW/SEALED,£,3.99,9 Sep 2022
LEGO Jurassic World Blue's Helicopter Pursuit (75928) NEW,£,60.92,9 Sep 2022
New listingLego 31120 Creator 3in1 Medieval Castle & Dragon Toy Set Children's Building Fun,£,84.99,9 Sep 2022
LEGO CREATOR: Helicopter (30471) Brand New Sealed in Bag,£,1.2,9 Sep 2022
LEGO Duplo 10973 Wild Animals of South America Age 2+ 71pcs #152438,£,29.99,9 Sep 2022
Lego City Trains Passenger Train (60197) New Sealed in Box,£,97.95,9 Sep 2022
LEGO Technic McLaren Senna GTR™ (42123),£,28.0,9 Sep 2022
New listingLEGO Creator Ferris Wheel 10247 Fairground Carnival Fair City Expert Retired NEW,£,348.12,9 Sep 2022
LEGO Harry Potter Quidditch Match (75956) Brand New,£,57.79,9 Sep 2022
==70918== LEGO The LEGO Batman Movie The Bat-Dune Buggy,£,30.46,9 Sep 2022
"New listingLEGO 60264 City Ocean Exploration Submarine, Brand New & Sealed, Nat Geo",£,38.25,9 Sep 2022
