Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"76951-1","Jurassic World","Dominion",2022,"Pyroraptor & Dilophosaurus Transport",3,254,44.99,44.99,59.99,49.99,5702016973877,,28.2,26.2,5.9,,"",0,0,0,,0,0,,,,,,,,,39.4200,,"17/04/2022","31/12/2023"
"76956-1","Jurassic World","Jurassic Park",2022,"T. rex Breakout",4,1212,89.99,99.99,129.99,99.99,5702017190006,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,114.7400,70.3100,"17/04/2022","31/12/2023"
"76978-1","Overwatch","",2022,"{?}",,,,,,,,673419323284,20.5,19.1,4.6,0.28,"",0,0,0,,0,0,,,,,,,,,,,"",""
"76979-1","Overwatch","",2022,"{?}",,,,,,,,673419323291,26.2,19.1,7.2,0.38,"",0,0,0,,0,0,,,,,,,,,,,"",""
"76980-1","Overwatch","Overwatch 2",2022,"Titan",,901,,,,,,673419323307,26.2,38.2,9.4,1.1,"",0,0,0,,0,0,,,,,,,,,,,"",""
"76981-1","Overwatch","",2022,"{?}",,,,,,,,673419323314,54,28.2,7.9,1.21,"",0,0,0,,0,0,,,,,,,,,,,"",""
"76982-1","Overwatch","",2022,"{?}",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"76983-1","Overwatch","",2022,"{?}",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"76989-1","Icons","Licensed",2022,"Horizon Forbidden West: Tallneck",2,1222,79.99,89.99,109.99,89.99,5702017156491,,26.2,38.2,9.4,,"",0,0,0,,0,0,,,,,,,,,85.6400,75.9500,"01/05/2022","31/12/2023"
"80030-1","Monkie Kid","Miscellaneous",2022,"Monkie Kid's Staff Creations",2,309,29.99,39.99,49.99,34.99,5702017153131,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,32.7700,,"01/01/2022","31/12/2023"
"80031-1","Monkie Kid","Season 3",2022,"Mei's Dragon Car",4,456,34.99,49.99,64.99,39.99,5702017153148,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,57.8600,,"01/01/2022","31/12/2022"
"80032-1","Monkie Kid","Season 3",2022,"Chang'e Moon Cake Factory",3,609,44.99,69.99,89.99,49.99,5702017153759,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,58.6200,,"01/01/2022","31/12/2023"
"80033-1","Monkie Kid","Season 3",2022,"Evil Macaque's Mech",5,893,59.99,89.99,119.99,64.99,5702017153155,,35.4,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,72.9500,58.9900,"01/01/2022","31/12/2023"
"80034-1","Monkie Kid","Season 3",2022,"Nezha's Fire Ring",7,929,69.99,99.99,129.99,79.99,5702017153315,,54,28.2,7.9,,"",0,0,0,,0,0,,,,,,,,,108.8400,,"01/01/2022","31/12/2023"
"80035-1","Monkie Kid","Season 3",2022,"Monkie Kid's Galactic Explorer",7,1356,89.99,129.99,169.99,99.99,5702017153162,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,87.5300,,"01/01/2022","31/12/2023"
"80036-1","Monkie Kid","Season 3",2022,"The City of Lanterns",9,2187,119.99,159.99,199.99,139.99,5702017153773,,58.2,37.8,11.8,,"",0,0,0,,0,0,,,,,,,,,143.4400,98.3800,"01/01/2022","31/12/2023"
"80037-1","Monkie Kid","Season 3",2022,"Dragon of the East",4,880,54.99,79.99,99.99,59.99,5702017153780,,54,28.2,5.9,,"",0,0,0,,0,0,,,,,,,,,,,"01/06/2022","31/12/2023"
"80038-1","Monkie Kid","Season 3",2022,"Monkie Kid's Team Van",6,1406,89.99,129.99,169.99,99.99,5702017153797,,48,37.8,9.4,,"",0,0,0,,0,0,,,,,,,,,121.7000,,"01/06/2022","31/12/2023"
"80039-1","Monkie Kid","Season 3",2022,"The Heavenly Realms",8,2433,159.99,189.99,239.99,179.99,5702017153803,,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,181.6200,,"01/06/2022","31/12/2023"
"80108-1","Seasonal","Chinese Traditional Festivals",2022,"Lunar New Year Traditions",12,1066,,,,69.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,63.7500,49.8200,"",""
"80109-1","Seasonal","Chinese Traditional Festivals",2022,"Lunar New Year Ice Festival",13,1519,,,,99.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,97.6200,67.0800,"",""
"80110-1","Seasonal","Chinese Traditional Festivals",2022,"{?}",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"112215-1","Ninjago","Magazine Gift",2022,"Cole vs. Ronin",2,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.3400,,"",""
"112216-1","Ninjago","Magazine Gift",2022,"Zane vs. Nindroid",2,16,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.4300,,"",""
"112217-1","Ninjago","Magazine Gift",2022,"Kai vs. Boa Destructor",2,13,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.6300,,"",""
"112218-1","Ninjago","Magazine Gift",2022,"Lloyd vs. Overlord",2,12,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.8000,,"",""
"112219-1","Ninjago","Magazine Gift",2022,"Jay vs. Nindroid",,11,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.2900,,"",""
"122217-1","Jurassic World","Magazine Gift",2022,"Raptor and Hideout",,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.3300,,"",""
"122218-1","Jurassic World","Magazine Gift",2022,"Tyrannosaurus Rex",,57,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.2800,,"",""
"122219-1","Jurassic World","Magazine Gift",2022,"Raptor with Hatchery",,37,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.6000,,"",""
"122220-1","Jurassic World","Magazine Gift",2022,"Owen with Airboat",1,30,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.8300,,"",""
"122221-1","Jurassic World","Magazine Gift",2022,"Raptor with nest",,23,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.2700,,"",""
"122222-1","Jurassic World","Magazine Gift",2022,"Dino Trap",,28,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.7000,,"",""
"122223-1","Jurassic World","Magazine Gift",2022,"Owen with Quad",,37,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.9800,,"",""
"212219-1","DC Comics Super Heroes","Magazine Gift",2022,"Batmobile",,38,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.7900,,"",""
"212220-1","DC Comics Super Heroes","Magazine Gift",2022,"Batman",1,3,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.7000,,"",""
"212221-1","DC Comics Super Heroes","Magazine Gift",2022,"Robin and Heli-Pack",1,11,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.0000,,"",""
"212222-1","DC Comics Super Heroes","Magazine Gift",2022,"Batcycle",,29,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.5700,,"",""
"242210-1","Marvel Super Heroes","Magazine Gift",2022,"Iron Man",1,22,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.0700,,"",""
"242211-1","Marvel Super Heroes","Magazine Gift",2022,"Loki",1,7,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.6600,,"",""
"242212-1","Marvel Super Heroes","Magazine Gift",2022,"Captain America",1,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.8800,,"",""
"242213-1","Marvel Super Heroes","Magazine Gift",2022,"War Machine",1,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.2000,,"",""
"242214-1","Marvel Super Heroes","Magazine Gift",2022,"Spider-Man",,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.3200,,"",""
"472201-1","Friends","Magazine gift",2022,"Cute Foal with Food and Water Pump",,36,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"472210-1","Duplo","Magazine Gift",2022,"Triceratops",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.1100,,"",""
